#radiation type,barrier,Total_E_absorbed(KeV),Total_E_remaining(keV),num_parts_remaining,num_parts_absorbed(keV=0),num_parts_reflected,speed,dt,part type,num_type,E for type(KeV),part type, num_parts,E for type(KeV)
Gamma,Al,180.1838,10999500671,100000,0,0,fast,1.02E-11,Photon,99983,10998130000,e-,17,1370671.9
Gamma,Al,47491.481,1949865.8,97524,2420,56,slow,1.02E-11,Photon,97431,1948619,e-,93,1246
Gamma,Water,10.48039,10999942885,100000,0,0,fast,1.02E-11,Photon,99996,10999560000,e-,4,382885
Gamma,Water,2808,1996231.46,99815,174,11,slow,1.02E-11,Photon,99805,1996099.777,e-,10,131.68
Gamma,Concrete,101.3892,10999191703,100000,0,0,fast,1.02E-11,Photon,99983,10998130000,e-,17,1061703.34
Gamma,Concrete,37864.612,1959534.7,97998,1945,57,slow,1.02E-11,Photon,97936,1958719.49,e-,62,815.2
Gamma,Kapton,0,11000000000,100000,0,0,fast,1.02E-11,Photon,100000,11000000000,0,0,0
Gamma,Kapton,0,1999999.712,100000,0,0,slow,1.02E-11,Photon,99999,1999980,e-,1,19.712
Gamma,Pb,11109.65,10983633622,100000,0,0,fast,1.02E-11,Photon,99711,10967781818,e-,289,15851804.14
Gamma,Pb,1862356.669,125087.3917,6278,92907,815,slow,1.02E-11,Photon,6229,124579.8746,e-,49,124579.8746
Carbon,Al,1548315.962,0,0,99044,956,fast,1.02E-11,0,0,0,0,0,0
Carbon,Al,1548315.962,0,0,98111,1889,slow,1.02E-11,0,0,0,0,0,0
Carbon,Water,1540789.596,0,0,97499,2501,fast,1.02E-11,0,0,0,0,0,0
Carbon,Water,553885.728,0,0,97975,2025,slow,1.02E-11,0,0,0,0,0,0
Carbon,Concrete,1543289.891,0,0,98044,1956,fast,1.02E-11,0,0,0,0,0,0
Carbon,Concrete,554668.14,0,0,98231,1769,slow,1.02E-11,0,0,0,0,0,0
Carbon,Kapton,839157.41,703001.09,84496,13077,2427,fast,1.02E-11,Carbon,84496,703001.094,0,0,0
Carbon,Kapton,554313.27,2240.587,155,97868,1977,slow,1.02E-11,Carbon,154,296.0577,Photon,1,1944.53
Carbon,Pb,1542532.566,0,0,97997,2003,fast,1.02E-11,0,0,0,0,0,0
Carbon,Pb,540681.346,0,0,93359,6641,slow,1.02E-11,0,0,0,0,0,0
Neon,Al,2610723.808,0,0,99578,422,fast,1.02E-11,0,0,0,0,0,0
Neon,Al,938695.6708,0,0,99373,627,slow,1.02E-11,0,0,0,0,0,0
Neon,Water,2598373.047,0,0,97983,2017,fast,1.02E-11,0,0,0,0,0,0
Neon,Water,937792.06,0,0,99115,885,slow,1.02E-11,0,0,0,0,0,0
Neon,Concrete,2602414.776,0,0,98527,1473,fast,1.02E-11,0,0,0,0,0,0
Neon,Concrete,938710.752,0,0,99358,642,slow,1.02E-11,0,0,0,0,0,0
Neon,Kapton,1421334.579,1171202.15,82844,14374,2782,fast,1.02E-11,Neon,82844,1171202.159,0,0,0
Neon,Kapton,936437.199,2.687,1,98577,1422,slow,1.02E-11,Neon,1,2.687,0,0,0
Neon,Pb,2608170.83,0,0,99234,766,fast,1.02E-11,0,0,0,0,0,0
Neon,Pb,926399.2477,0,0,96181,3819,slow,1.02E-11,0,0,0,0,0,0
Proton,Al,116165.26,0,0,87832,12168,fast,1.13E-13,0,0,0,0,0,0
Proton,Al,50000,0,0,0,0,slow,1.13E-13,0,0,0,0,0,0
Proton,Water,122932.11,0,0,93393,6607,fast,1.13E-13,0,0,0,0,0,0
Proton,Water,50000,0,0,0,0,slow,1.13E-13,0,0,0,0,0,0
Proton,Concrete,117617.88,0,0,89000,11000,fast,1.13E-13,0,0,0,0,0,0
Proton,Concrete,50000,0,0,0,0,slow,1.13E-13,0,0,0,0,0,0
Proton,Kapton,122259.0198,291.9,265,92816,6919,fast,1.13E-13,Proton,265,291.917,0,0,0
Proton,Kapton,50000,0,0,0,0,slow,1.13E-13,0,0,0,0,0,0
Proton,Pb,88450.3,0,0,66291,33709,fast,1.13E-13,0,0,0,0,0,0
Proton,Pb,50000,0,0,0,0,slow,1.13E-13,0,0,0,0,0,0
